Naziv,Adresa,Kategorija
"ACG Lukaps","Frankopanska ul. 79, 42230 Ludbreg, Croatia",Proizvođači
"Agnieszka Puszczewicz, turistička agencija","Nowogrodzka 50/510, 00-033 Warszawa, Poljska","Turističke agencije"
"AL&FA&DI j.d.o.o.","Ul. Braće Branchetta 42, 51000, Rijeka","Restorani i catering"
"ANAMARIJA COMPANY  d.o.o","Prelčeva ul. 46, 10360, Sesvete, Croatia",Proizvođači
"ard natural cosmetics","Nikole Tesle 15, 10000 Zagreb",Trgovina
"Axes d.o.o.","Put Brodarice 6, 21000 Split","Restorani i catering"
"Balkans Luxury Concierge j.d.o.o.","Put Pubovo 5, 51211, Matulji, Hrvatska","Turističke agencije"
"BB Oil d.o.o.","Trg Lava Mirskog 1, 31000, Osijek, Hrvatska",Proizvođači
"Belje plus d.o.o. (tvornica mliječnih proizvoda)","Ul. Imre Nagya 1, 31300, Beli Manastir, Croatia",Proizvođači
"Božjakovina d.d.","Božjakovečka 6., 10370 Božjakovina, Hrvatska",Proizvođači
"Capra Domestica d.o.o.","Serajlići 4, Sitno Donje, 22205 Perković",Proizvođači
"Clarum d.o.o. za proizvodnju i usluge","1. Industrijski odvojak 6, 35400, Nova Gradiška, Croatia",Proizvođači
"Dr. Škobić d.o.o.","Gornji kraj 11, 10430 Samobor, Hrvatska",
"Drniška tradicija d.o.o.","Vrba 9, 22322 Čavoglave, Hrvatska",Proizvođači
"Dukat d.d., Tvornica Zagreb","Ul. Marijana Čavića 9, 10000, Zagreb, Croatia",Proizvođači
"ELCON prehrambeni proizvodi d.o.o.","Ul. Josipa Kraša 3, 49247, Zlatar Bistrica, Croatia",Proizvođači
"EMPWR d.o.o.","II Industrijski odvojak broj 2, 35400, 35400, Nova Gradiška, Croatia",Proizvođači
"Esculap Teo d.o.o. - Restorani ""Proto"" i ""Konavovski dvori""","20213, Močići, Croatia","Restorani i catering"
"ESPLANADE OLEANDER d.o.o.","Ul. Antuna Mihanovića 1, 10000, Zagreb, Croatia",Hotelijeri
"Euroadria d.o.o.","Maksimirska cesta 9, 10000, Zagreb, Croatia","Restorani i catering"
"Fivas d.o.o.","Selina 2, 51219 Čavle",Proizvođači
"Franck d.d.","Vodovodna ul. 20, 10000, Zagreb, Croatia",Proizvođači
"Frozen Food International d.o.o.","Kukuljanovo 344, 51223, Kukuljanovo, Hrvatska",Proizvođači
"Gavrilović d.o.o.","Gavrilovićev trg 1, 44250, Petrinja, Croatia",Proizvođači
"GEC d.o.o. Plešce","A.MUHVIĆA BR.44 Plešce, 51303, Plešce, Croatia",Proizvođači
"Grand Hotel Lav d.o.o.","Grljevačka ul. 2, 21312, Podstrana, Croatia",Hotelijeri
"Granolio d.d.","Budmanijeva ul. 5, 10000, Zagreb, Croatia",Proizvođači
"Grbić d.o.o.","Mlinska ul. 90, 34000, Požega, Croatia",Proizvođači
"Hermes International d.o.o.","Ul. Vilka Novaka 18, 42209, Sračinec, Croatia",Proizvođači
"Hotel Amfiteatar","Amfiteatarska ul. 6, 52100, Pula, Hrvatska",Hotelijeri
"Hotel Canopy by HILTON","Ulica Kneza Branimira 29, Zagreb, HR 10000",Hotelijeri
"Hrvatska industrija šećera d.d.","Ulica grada Vukovara 269g, 10000 Zagreb",Proizvođači
"Ireks Aroma d.o.o.","Trešnjevka 24, 10450, Jaska, Croatia",Proizvođači
"KIM d.o.o.","Ul. Gornje Mekušje, 47000, Karlovac, Croatia",Proizvođači
"Koka d.d.","Biškupečka ulica 58, 42000, Varaždin, Croatia",Klaonice
"KRAŠ, prehrambena industrija d.d. Zagreb","Ravnice 48, 10000, Zagreb, Croatia",Proizvođači
"KUĆA EDO d.o.o. - Restoran Taj Mahal","Između Dolaca 6, 20236, Nova Mokošica, Dubrovnik","Restorani i catering"
"Kutrilin d.o.o.","Radnička cesta 173, 10000, Zagreb, Croatia",Proizvođači
"Libertas Rixos d.o.o.","Liechtensteinov put 3, 20000, Dubrovnik, Croatia",Hotelijeri
"LUKAČ d.o.o.","Ostrovička ul. 1, 10000, Zagreb, Croatia",Proizvođači
"LUXURY COSMETICS d.o.o.","Ružićeva ul. 1, 51000, Rijeka, Croatia",Proizvođači
"MarinaLab Opus d.o.o.","Kraljevečka c7, 10257 Kupinečki Kraljevec-Brezovica",Proizvođači
"Milla Cosmetics d.o.o","Krapinska ul. 61, 10298, Donja Bistra, Hrvatska",Proizvođači
"Mirna Rovinj d.d.","Ul. Giordana Paliage 5, 52210, Rovinj, Croatia",Proizvođači
"MLINAR d.d.","Radnička cesta 228c, 10000, Zagreb, Croatia",Proizvođači
"Naše klasje d.o.o.","Raška ul. 35, 10000, Zagreb, Croatia",Proizvođači
"Naturala d.o.o.","Ul. Nikole Šubića Zrinskog 28, 33520, Slatina, Croatia",Proizvođači
"NEW BAKERY d.o.o","Tratinska ul. 72, 10412, Lukavec, Croatia",Proizvođači
"Nutris d.o.o.","Varaždinska 68, 33520, Novi Senkovac, Hrvatska",Proizvođači
"O.Š. Matije Gupca","Ul. Davorina Bazjanca 2, 10000, Zagreb, Croatia","Školske ustanove"
"OPG Mujakić","Poljana Čička 87B, 10410 Velika Gorica",OPG
"Orgula d.o.o.","Stinice 12, 21000, Split, Hrvatska",
"Oui Chef obrt za kuharske usluge i savjetovanje","Ulica Hrvatskog proljeća 22a, 10000 Zagreb, Croatia",Hotelijeri
"Pan Pek d.o.o. Đakovo","Vladimira Nazora 66, 31 400 Đakovo, Hrvatska",Proizvođači
"PAN-PEK d.o.o","Planinska ul. 2C, 10000, Zagreb, Croatia",Proizvođači
